iso3,country,alpha,gross_pct_gdp,net_pct_gdp,incremental_R5,incremental_R10,tax_headroom_to_DK_pp,gini_used,k_net
AUT,Austria,0.1,10.0,2.235538782400144,-2.764461217599856,-7.764461217599856,0.8999999999999986,0.312,0.22355387824001438
AUT,Austria,0.2,20.0,4.471077564800288,-0.5289224351997124,-5.528922435199712,0.8999999999999986,0.312,0.22355387824001438
AUT,Austria,0.3,30.0,6.706616347200431,1.7066163472004314,-3.2933836527995686,0.8999999999999986,0.312,0.22355387824001438
PRT,Portugal,0.1,10.0,2.4350718908238425,-2.5649281091761575,-7.564928109176158,7.200000000000003,0.33899999999999997,0.24350718908238425
PRT,Portugal,0.2,20.0,4.870143781647685,-0.1298562183523151,-5.129856218352315,7.200000000000003,0.33899999999999997,0.24350718908238425
PRT,Portugal,0.3,30.0,7.305215672471528,2.305215672471528,-2.694784327528472,7.200000000000003,0.33899999999999997,0.24350718908238425
POL,Poland,0.1,10.0,2.03747063928819,-2.96252936071181,-7.962529360711811,8.799999999999997,0.285,0.20374706392881897
POL,Poland,0.2,20.0,4.07494127857638,-0.9250587214236203,-5.92505872142362,8.799999999999997,0.285,0.20374706392881897
POL,Poland,0.3,30.0,6.112411917864569,1.112411917864569,-3.887588082135431,8.799999999999997,0.285,0.20374706392881897
LUX,Luxembourg,0.1,10.0,2.4128239492844257,-2.5871760507155743,-7.587176050715574,5.0,0.336,0.24128239492844258
LUX,Luxembourg,0.2,20.0,4.825647898568851,-0.17435210143114865,-5.174352101431149,5.0,0.336,0.24128239492844258
LUX,Luxembourg,0.3,30.0,7.238471847853278,2.238471847853278,-2.761528152146722,5.0,0.336,0.24128239492844258
NZL,New Zealand,0.1,10.0,2.0740468743934475,-2.9259531256065525,-7.9259531256065525,11.200000000000003,0.29,0.20740468743934476
NZL,New Zealand,0.2,20.0,4.148093748786895,-0.851906251213105,-5.851906251213105,11.200000000000003,0.29,0.20740468743934476
NZL,New Zealand,0.3,30.0,6.2221406231803424,1.2221406231803424,-3.7778593768196576,11.200000000000003,0.29,0.20740468743934476
ISR,Israel,0.1,10.0,2.7638290259320097,-2.2361709740679903,-7.23617097406799,11.600000000000001,0.38299999999999995,0.276382902593201
ISR,Israel,0.2,20.0,5.5276580518640195,0.5276580518640195,-4.4723419481359805,11.600000000000001,0.38299999999999995,0.276382902593201
ISR,Israel,0.3,30.0,8.29148707779603,3.2914870777960292,-1.7085129222039708,11.600000000000001,0.38299999999999995,0.276382902593201
